,Source,Leads Generated,Impressions,Spend,Clicks,Conversion Rate,Cost per Lead
0,Bloggers,1552,738460,13439.0,14250,0.10891228070175439,8.659149484536082
1,CRM,1223,0,0.0,7995,0.15297060662914322,0.0
2,Facebook Ads,8990,2850200,33754.72,48133,0.1867741466353645,3.7546963292547275
3,Google Ads,6633,32752334,57798.6,248487,0.026693549360731143,8.713794663048395
4,Offline,10,0,0.0,57,0.17543859649122806,0.0
5,Organic,4003,0,0.0,59089,0.06774526561627375,0.0
6,Partnership,39,0,0.0,350,0.11142857142857143,0.0
7,SMM,3055,23772,7269.52,11521,0.2651679541706449,2.3795482815057283
8,Telegram posts,1577,705415,6860.36,16777,0.09399773499433749,4.350259987317692
9,Test,210,43969,608.21,1226,0.17128874388254486,2.8962380952380955
10,Tiktok Ads,2610,5007212,11985.67,28268,0.0923305504457337,4.5922107279693485
11,Webinar,1033,301670,2874.04,3241,0.3187287874112928,2.7822265246853823
12,Youtube Ads,2444,8655978,14633.33,59061,0.04138094512453226,5.987450900163666
